factorAbbreviation,factorName,styleName,cagr,rank_style,rank_total
PAdjChg1YCF,1Y Chg in Cash Flow to Price,Historical Growth,0.04789713985815314,12.0,84.0
AssetTurn,Asset Turnover,Earnings Quality,0.047449563461592126,11.0,85.0
AdjEBITP,Adjusted EBIT to Price,Valuation,0.0471829043952392,7.0,86.0
Alpha18M6MPChg,6M Chg in 18M CAPM Alpha,Price Momentum,0.047062993517108076,27.0,87.0
50DVolSig,50 Day Volume Signal,Price Momentum,0.046920193042999436,28.0,88.0
TTMRecInvToSales,Trailing 12-Month Receivables and Inventories/Trailing 12-Month Sales,Historical Growth,0.04672631221019441,13.0,89.0
CashRatio,Cash Ratio,Earnings Quality,0.04671332418660956,12.0,90.0
CashEV,Cash to EV Ratio,Valuation,0.04661474327371673,8.0,91.0
DIVIDENDGROWTH,Dividend Growth,Historical Growth,0.04647174912847096,14.0,92.0
PSlopeSERR_26W,26W Price Stat,Price Momentum,0.046177290478326416,29.0,93.0
PM9M,9 Month Price Momentum,Price Momentum,0.045532669777071266,30.0,94.0
Alpha36M6MPChg,6M Chg in 36M CAPM Alpha,Price Momentum,0.04532972947243619,31.0,95.0
EBITDAP,EBITDA to Price,Valuation,0.04476484395945257,9.0,96.0
PAdjChg3YFCF,3Y Chg in Free Cash Flow to Price,Historical Growth,0.04461527024515877,15.0,97.0
RevEstDisp,Revenue Estimate Dispersion,Analyst Expectations,0.04446904119990536,18.0,98.0
8WChgFwd12MEPS,8-Week Change in 12-Month Forward Earnings Consensus Estimate/Price,Valuation,0.04420275896876391,10.0,99.0
PAdjChg1YEPS,1Y Chg in Earnings to Price,Historical Growth,0.04419944641412532,16.0,100.0
InvToAst,Inventory to Assets Ratio,Earnings Quality,0.04419201883796697,13.0,101.0
InvPEGC,Inverse PEG,Analyst Expectations,0.04401722077184522,19.0,102.0
AstAdjChg3YOCF,3Y Chg in Asset Adjusted Operating Cash Flow,Historical Growth,0.043911569084980284,17.0,103.0
CapExToSales,Capital Expenditure to Sales,Earnings Quality,0.043499827342853736,14.0,104.0
FinLev,Degree of Financial Leverage,Capital Efficiency,0.04327868031938409,11.0,105.0
CashBurn,Cash Burn Rate,Earnings Quality,0.043243413262160635,15.0,106.0
ROEStddev20Q,ROE 20 Qtr Standard Deviation,Earnings Quality,0.04263397954827952,16.0,107.0
HL1M,1M Price High - 1M Price Low,Price Momentum,0.04253630849175383,32.0,108.0
CFP,Net Cash Flow to Price,Valuation,0.042474749870375694,11.0,109.0
IO_StabofChgHD,Stability of Change in Number of Holders,Price Momentum,0.041751520813807286,33.0,110.0
PAdjChg1YOCF,1Y Chg in Operating Cash Flow to Price,Historical Growth,0.04132798816536143,18.0,111.0
RecTurn,Receivables Turnover Ratio,Capital Efficiency,0.04130246924021108,12.0,112.0
SalesToEPSChg,1Y Chg in Sales to Earnings,Earnings Quality,0.04101722742404568,17.0,113.0
39WRtnLag4W,39W Lagged Return,Price Momentum,0.04080158253556032,34.0,114.0
PTIP,Pretax Income Per Share to Price,Valuation,0.04072044059562496,12.0,115.0
Amihud,Amihud Illiquidity Measure,Volatility,0.04020464833625126,4.0,116.0
OCFEqt,Operating Cash Flow to Equity,Capital Efficiency,0.039902020954711626,13.0,117.0
AstAdjChg1YFCF,1Y Chg in Asset Adjusted Free Cash Flow,Historical Growth,0.03961154067370409,19.0,118.0
SusGrwRate,Sustainable Growth Rate,Historical Growth,0.03907497757922296,20.0,119.0
