case,n,first,overall,p1_pre2018,p2_18_22,p3_2023+,yearly_std,yearly_min,yearly_max
combo_18_0.1_is60,136,2014-12,0.9463279635827045,1.6946609539927704,0.44559866812593657,0.9899174741206155,0.8239615896298739,-0.9194985925994561,2.5808582650804985
cluster_12,160,2012-12,0.8658462577709382,0.8054367245341819,0.5070321676897588,1.427356537393155,0.7664666272215046,-0.3765715343952632,2.254887100463491
cluster_18_keep5,160,2012-12,0.8136790213006768,0.8481209892894178,0.6119437969149288,1.0329764356490299,0.9202208405835128,-0.4841923229365483,2.689268244766195
cluster_10,160,2012-12,0.804593714725412,0.8386321731432189,0.4350048983562034,1.262953929023097,0.8227472946229172,-1.239849709380961,1.9511193437290473
combo_18_0.1_is24,172,2011-12,0.8013645895412609,0.9579592594670159,0.44559866812593657,0.9899174741206155,0.8373645390124145,-0.9194985925994561,2.5808582650804985
baseline_is60,136,2014-12,0.7817566077309456,2.2855271551061023,0.6129731649980871,0.2738667119770098,1.221630928391113,-0.7684053822095444,3.032070179845141
cluster_15,160,2012-12,0.7598711790731347,0.7853081492472858,0.39905378712683676,1.1612698011529121,0.9710665608743135,-0.379888558530794,2.978526167801798
combo_18_0.1,160,2012-12,0.7279276001020979,0.7997841018591952,0.44559866812593657,0.9899174741206155,0.8348867719158638,-0.9194985925994561,2.5808582650804985
combo_18_0.2,160,2012-12,0.7252544371162587,0.8029774486765775,0.4379412665901222,0.985166636165923,0.8481510790339465,-0.9325295929615095,2.6032904271852972
combo_18_0.3,160,2012-12,0.7220420738357919,0.8048207590753529,0.43028270264460095,0.980412450122725,0.8610184828645985,-0.9449158357851748,2.624180023266652
combo_nocap_0.1,160,2012-12,0.7173406987362956,0.7833609514068989,0.41760917927885677,1.0089374756638672,0.8338275981016507,-0.8827216767444576,2.6080841738690075
combo_18_0.5,160,2012-12,0.7144950650247828,0.8056012771419586,0.4149904276338569,0.9709218848389861,0.8853535696544105,-0.9678708229924016,2.661759890393841
combo_nocap_0.3,160,2012-12,0.7131637535732971,0.7946346957127757,0.3985947876542579,1.0011595973884373,0.8570909111931965,-0.9138424239949515,2.64003420524616
combo_nocap_0.5,160,2012-12,0.7075599591952949,0.8016967723762849,0.380403946945266,0.9932609610530141,0.8782205828846241,-0.9408632056251743,2.6671634948235274
combo_18_cap0.5,160,2012-12,0.7075599591952949,0.8016967723762849,0.380403946945266,0.9932609610530141,0.8782205828846241,-0.9408632056251743,2.6671634948235274
baseline_is24,172,2011-12,0.7073425789773791,1.191434513834891,0.6129731649980871,0.2738667119770098,1.2733463684145376,-0.9898779055614058,3.032070179845141
combo_18_0.7,160,2012-12,0.7060238056018312,0.8038574280083083,0.3997791006377805,0.9614953493645948,0.907739890235375,-0.98862114299711,2.6943776402567825
cluster_18,160,2012-12,0.6925276560822858,0.7987553590602174,0.37723077941642613,0.9475620892015295,0.9379280507285356,-1.0161986756656043,2.7354370044119865
cluster_18_keep2,160,2012-12,0.6925276560822858,0.7987553590602174,0.37723077941642613,0.9475620892015295,0.9379280507285356,-1.0161986756656043,2.7354370044119865
cluster_18_keep1,160,2012-12,0.6925276560822858,0.7987553590602174,0.37723077941642613,0.9475620892015295,0.9379280507285356,-1.0161986756656043,2.7354370044119865
cluster_nocap,160,2012-12,0.6908507342671862,0.8096368357385217,0.33804219527583595,0.9733333171361096,0.9227192459109309,-0.9937495270300405,2.718420844591476
combo_18_0.1_rebal12,160,2012-12,0.6807018460271194,0.5620130700704202,0.7067175926336372,0.8255869806955697,0.7273877672555364,-0.6478247634386767,2.1324321568979636
