case,n_DD,max_DD_pct,avg_recovery_m,longest_total_m
baseline,5,-7.912949676162798,4.0,35
combo_18_0.1,6,-2.858472226074421,6.666666666666667,31
baseline_nocap_0.3,6,-8.798121907998697,3.4,35
cluster_18,6,-2.92634562300348,6.5,32
combo_18_0.1_rebal12,6,-2.444125469374305,6.2,24
