variant,cew_cagr,cew_mdd,cew_sharpe,cew_calmar,cew_sharpe_recent36m,ew_cagr,ew_sharpe,ew_all_cagr,ew_top50_cagr,ew_top50_sharpe,n_factors_avg,mean_monthly_turnover_oneway,oos_months,elapsed_min
baseline,0.01877975462275283,-0.10225826573930817,0.5160863996794484,0.18365023587070162,1.1338579207104407,0.02501922593244621,0.600954909179895,0.006891573464623102,0.01816349586034227,0.4375003002851955,30.58282208588957,0.03536946902712679,163,16.880183939139048
sector_tstat_1.0,0.009499745421066574,-0.07242067282258703,0.29185439325570584,0.1311744982587863,0.38923360511363325,0.0171523150987154,0.46280780368785995,0.007521039926827733,0.017274514205043223,0.4322255550573061,31.920245398773005,0.027766975068635676,163,19.330170834064482
tstat_hl60,0.01962085537349667,-0.10587656142664309,0.5153744046415089,0.18531821499597,1.2294448340045112,0.025213469683408984,0.6001223626500728,0.006891573464623102,0.017225058115598157,0.3990403705120438,30.926380368098158,0.04149236228158742,163,17.28452080488205
hysteresis_iqr,0.01876514798295137,-0.1022582657393085,0.5172647441639506,0.18350739519473355,1.1338579207104407,0.02481027254653223,0.5954713831399239,0.006891573464623102,0.01816349586034227,0.4375003002851955,30.58282208588957,0.035385973737319075,163,17.48944981098175
zero_frac_0.05,0.01877975462275283,-0.10225826573930817,0.5160863996794484,0.18365023587070162,1.1338579207104407,0.02501922593244621,0.600954909179895,0.006891573464623102,0.01816349586034227,0.4375003002851955,30.58282208588957,0.03536946902712679,163,17.6076034228007
sector_geo,0.0160392415929822,-0.06801041974947131,0.4710853693320353,0.2358350625105043,0.620514248117673,0.0236164963489105,0.583063881652716,0.006315747660724513,0.0169493697811145,0.40588661458025216,30.987730061349694,0.0336847116673482,163,18.243172816435496
